№;Улица;Номер;Вид объекта;Полный адрес;Кадастровый номер;Дата внесения записи в ГАР;Дата документа-основания;Номер документа-основания;Наименование документа-основания;Последнее обновление записи;Статус записи;ID ФИАС;Почтовый индекс;ОКТМО;Примечания;Реестровый номер записи;objectId (ГАР)
61;ул. Набережная;11;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, земельный участок 11;;23.06.2026;22.06.2026;01/05-437;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;23.06.2026;Актуальная;b67578d9-ce08-4cdd-b994-a688c5f079d2;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000410028000000000;180132320
62;ул. Набережная;12;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, земельный участок 12;96:01:0005445:271;11.06.2026;10.06.2026;01/05-366;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;17.06.2026;Актуальная;b5afab01-868b-43d9-ac48-6eb8881aa7fe;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000410008000000010;179929639
63;ул. Набережная;12;Дом;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, дом 12;96:01:0005579:2137;11.06.2026;10.06.2026;01/05-366;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;17.06.2026;Актуальная;a06a9ff6-fc87-4d4e-a3db-d8c29419d6c6;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000420005000000000;179929640
64;ул. Набережная;12/1;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, земельный участок 12/1;;11.06.2026;10.06.2026;01/05-371;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;11.06.2026;Актуальная;4cb3043d-14bc-4d6c-9209-99d6c6805c18;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000410012000000000;179929683
65;ул. Набережная;12/2;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, земельный участок 12/2;;11.06.2026;10.06.2026;01/05-373;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;11.06.2026;Актуальная;f07870bb-b9dc-4567-9d00-9fe75ef44bc8;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000410014000000000;179929709
66;ул. Набережная;14;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, земельный участок 14;96:01:0005445:186;11.06.2026;10.06.2026;01/05-369;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;17.06.2026;Актуальная;1a1347a0-b1f5-4aa9-bfe6-46e1ce230565;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000410010000000010;179929642
67;ул. Набережная;15;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, земельный участок 15;;11.06.2026;10.06.2026;01/05-370;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;11.06.2026;Актуальная;9edd6fad-3415-409f-aba3-c405e5f821f9;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000410011000000000;179929643
68;ул. Набережная;16;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, земельный участок 16;;11.06.2026;10.06.2026;01/05-372;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;11.06.2026;Актуальная;549fc054-75a9-4417-b255-8d82df8f5c59;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000410013000000000;179929707
69;ул. Набережная;33/1;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, земельный участок 33/1;;23.06.2026;22.06.2026;01/05-438;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;23.06.2026;Актуальная;34e4b758-5956-4820-8b07-afd19b1838f2;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000410027000000000;180132266
70;ул. Набережная;46;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, земельный участок 46;96:01:0005445:254;11.06.2026;10.06.2026;01/05-374;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;17.06.2026;Актуальная;598b23d7-adf7-4319-a345-be61dac8ad82;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000410015000000010;179929710
71;ул. Набережная;46 строение А;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, здание 46 строение А;96:01:0005445:262;11.06.2026;10.06.2026;01/05-374;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;17.06.2026;Актуальная;3215b574-0d6b-4a8b-8373-96b5e50f2459;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000430008000000000;179929715
72;ул. Набережная;46 строение Б;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, здание 46 строение Б;96:01:0005445:263;11.06.2026;10.06.2026;01/05-374;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;17.06.2026;Актуальная;080bc60a-a9bf-4e18-8bae-719ea0efe457;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000430007000000000;179929714
73;ул. Набережная;46 строение В;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, здание 46 строение В;96:01:0005445:264;11.06.2026;10.06.2026;01/05-374;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;17.06.2026;Актуальная;cd7285d2-221a-4d9f-a96b-e14b708fd677;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000430006000000000;179929713
74;ул. Набережная;47;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, земельный участок 47;96:01:0005445:272;11.06.2026;10.06.2026;01/05-367;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;17.06.2026;Актуальная;8eed30cc-6381-476e-8652-b545dcf025ed;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000410009000000010;179929641
75;ул. Набережная;48;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, земельный участок 48;96:01:0005445:32;11.06.2026;10.06.2026;01/05-378;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;17.06.2026;Актуальная;61a1b39c-5fe8-4c60-b498-74c4bd1e3fd5;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000410016000000010;179929724
76;ул. Набережная;48 строение А;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, здание 48 строение А;96:01:0005445:268;11.06.2026;10.06.2026;01/05-378;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;17.06.2026;Актуальная;ef95a61a-3f4b-4900-8598-df0dd53112d3;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000430010000000000;179929726
77;ул. Набережная;48 строение Б;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, здание 48 строение Б;96:01:0005445:269;11.06.2026;10.06.2026;01/05-378;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;17.06.2026;Актуальная;1fc2a1ae-09bf-4cec-9737-e5c7e1b01f75;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000430009000000000;179929725
78;ул. Набережная;49;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, земельный участок 49;96:01:0005445:33;11.06.2026;10.06.2026;01/05-379;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;17.06.2026;Актуальная;a15c48a2-8146-428a-9c78-3b13af11e09c;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000410017000000010;179929727
79;ул. Набережная;49 строение А;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, здание 49 строение А;96:01:0005579:2292;11.06.2026;10.06.2026;01/05-379;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;17.06.2026;Актуальная;3330326e-6007-4f57-921a-a204081e5dab;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000430013000000000;179929731
80;ул. Набережная;49 строение Б;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, здание 49 строение Б;96:01:0005579:2293;11.06.2026;10.06.2026;01/05-379;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;17.06.2026;Актуальная;ee8fea55-e264-4e68-905b-e9e9e72ccb68;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000430012000000000;179929730
81;ул. Набережная;49 строение В;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, здание 49 строение В;96:01:0005579:2294;11.06.2026;10.06.2026;01/05-379;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;17.06.2026;Актуальная;59ea4c1e-c3e2-48f5-883c-1b42801c7faf;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000430011000000000;179929729
82;ул. Набережная;51;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, земельный участок 51;96:01:0005445:34;11.06.2026;10.06.2026;01//05-380;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;17.06.2026;Актуальная;d899c719-ec71-4dfa-898c-4d6f71d12e79;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000410018000000010;179929733
83;ул. Набережная;51 строение А;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, здание 51 строение А;96:01:0005445:267;11.06.2026;10.06.2026;01//05-380;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;17.06.2026;Актуальная;ce3e7934-76e7-4e89-9959-962daad89bc2;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000430015000000000;179929736
84;ул. Набережная;51 строение Б;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, здание 51 строение Б;96:01:0005445:266;11.06.2026;10.06.2026;01//05-380;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;17.06.2026;Актуальная;3689df77-94d5-4761-bb5c-04b805c9c8d2;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000430014000000000;179929734
85;ул. Набережная;53;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, земельный участок 53;96:01:0005553:277;11.06.2026;10.06.2026;01/05-381;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;17.06.2026;Актуальная;30e3654c-43e0-4644-84f0-fa5aa60b378d;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000410019000000010;179929737
86;ул. Набережная;53;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, здание 53;96:01:0005445:265;11.06.2026;10.06.2026;01/05-381;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;17.06.2026;Актуальная;ecf4344b-f2df-4c10-b294-dac32a433e09;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000420016000000000;179929738
87;ул. Набережная;70;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, земельный участок 70;96:01:0005553:276;11.06.2026;10.06.2026;01/05-382;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;17.06.2026;Актуальная;2fb6c40e-7bf2-463c-b893-68fa511b2d45;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000410020000000010;179929740
88;ул. Набережная;70;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, здание 70;96:01:0005579:2296;11.06.2026;10.06.2026;01/05-382;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;17.06.2026;Актуальная;cd0b6fa6-ae83-4f40-8dd0-ac1d0dc99d02;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000420017000000000;179929741
89;ул. Набережная;71;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, земельный участок 71;96:01:0005445:35;11.06.2026;10.06.2026;01/05-383;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;17.06.2026;Актуальная;34b2bedd-5604-415b-acad-1b049d4da919;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000410021000000010;179929743
90;ул. Набережная;71 строение А;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, здание 71 строение А;96:01:0005579:2297;11.06.2026;10.06.2026;01/05-383;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;17.06.2026;Актуальная;2818ebce-06ce-4b36-a5c5-e97ecc36304b;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000430019000000000;179929745
91;ул. Набережная;71 строение Б;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, здание 71 строение Б;96:01:0005579:2298;11.06.2026;10.06.2026;01/05-383;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;17.06.2026;Актуальная;7a910e01-9f85-4fea-a5f6-e4d2f2f46931;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000430018000000000;179929744
92;ул. Набережная;72;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, земельный участок 72;96:01:0005553:275;11.06.2026;10.06.2026;01/05-365;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;17.06.2026;Актуальная;3b66dbac-4889-45c0-8bd8-354ff586c708;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000410007000000010;179929636
93;ул. Набережная;72;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, здание 72;96:01:0005579:2196;11.06.2026;10.06.2026;01/05-365;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;17.06.2026;Актуальная;18f91f5a-f732-4fa6-846f-cb8f8209b2a3;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000420004000000000;179929637
94;ул. Набережная;73;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, земельный участок 73;;26.06.2026;25.06.2026;01/05-460;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;26.06.2026;Актуальная;0101f663-c319-43e3-bd0c-f07b9c98d9d7;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000410033000000000;180203710
95;ул. Набережная;73;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, здание 73;;26.06.2026;25.06.2026;01/05-460;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;26.06.2026;Актуальная;892da3a7-dc52-4580-8d10-7af97dc485e5;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000420023000000000;180203711
96;ул. Набережная;74;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, земельный участок 74;;22.06.2026;18.06.2026;01/05-416;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;22.06.2026;Актуальная;ab928af7-70c9-4c75-8cfd-3ba8f1f0d8cc;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000410023000000000;180103907
97;ул. Набережная;75;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, земельный участок 75;;22.06.2026;18.06.2026;01/05-415;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;22.06.2026;Актуальная;97a34a2a-a48d-4067-a757-4351dfedf2a4;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000410022000000000;180103906
98;ул. Набережная;76;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, земельный участок 76;96:01:0005445:29;05.06.2026;04.06.2026;01/05-312;О присвоении адреса объекту адресации на территории муниципального округа Генический муниципальный округ Херсонской области;14.07.2026;Актуальная;94c2e996-2c09-4e9b-878f-88e401d40852;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000410003000000010;179798114
99;ул. Набережная;76;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, здание 76;96:01:0005579:2299;05.06.2026;04.06.2026;01/05-312;О присвоении адреса объекту адресации на территории муниципального округа Генический муниципальный округ Херсонской области;14.07.2026;Актуальная;786476bf-16e8-4705-a1f9-ad393c50f147;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000420002000000000;179798116
100;ул. Набережная;76/1;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, земельный участок 76/1;96:01:0005445:25;05.06.2026;04.06.2026;01/05-311;О присвоении адреса объекту адресации на территории муниципального округа Генический муниципальный округ Херсонской области;14.07.2026;Актуальная;a283693d-f6e6-43c9-b540-edec7bc8f53c;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000410002000000010;179798112
101;ул. Набережная;78;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, земельный участок 78;96:01:0005445:42;05.06.2026;04.06.2026;01/05-316;О присвоении адреса объекту адресации на территории муниципального округа Генический муниципальный округ Херсонской области;14.07.2026;Актуальная;ce7509da-8da8-48fb-a0e8-dfe9b0baaedd;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000410001000000010;179798107
102;ул. Набережная;78;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, здание 78;96:01:0005579:273;05.06.2026;04.06.2026;01/05-316;О присвоении адреса объекту адресации на территории муниципального округа Генический муниципальный округ Херсонской области;14.07.2026;Актуальная;e9957ef2-5265-4a52-a7fb-b662bfb67f73;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000420001000000000;179798108
103;ул. Набережная;164;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, земельный участок 164;;26.06.2026;25.06.2026;01/05-458;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;26.06.2026;Актуальная;dea7c834-1bb9-49e4-894f-f67174aa5298;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000410031000000000;180201990
104;ул. Набережная;164;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, здание 164;;26.06.2026;25.06.2026;01/05-458;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;26.06.2026;Актуальная;74feaf61-5595-4e9d-8215-91fbcb17d7d1;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000420021000000000;180201991
105;ул. Набережная;165;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, земельный участок 165;;26.06.2026;25.06.2026;01/05-457;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;26.06.2026;Актуальная;500e40a8-45a6-49fa-8ad3-0f12013f77ff;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000410030000000000;180201984
106;ул. Набережная;165;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, здание 165;;26.06.2026;25.06.2026;01/05-457;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;26.06.2026;Актуальная;90598b29-6682-4979-8ea6-37b6d79a328f;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000420020000000000;180201987
107;ул. Набережная;166;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, земельный участок 166;;26.06.2026;25.06.2026;01/05-459;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;26.06.2026;Актуальная;b6218ffe-096f-4310-b429-1b3da068bd1d;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000410032000000000;180203708
108;ул. Набережная;166;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, здание 166;;26.06.2026;25.06.2026;01/05-459;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;26.06.2026;Актуальная;5392963f-9e6a-491a-8795-14cf0b85740b;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000420022000000000;180203709
109;ул. Набережная;168;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, земельный участок 168;;22.06.2026;18.06.2026;01/05-400;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;22.06.2026;Актуальная;382eacd9-ef06-40f4-96fd-b371587c285f;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000410025000000000;180104008
110;ул. Набережная;169/1;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, земельный участок 169/1;96:01:0005445:274;05.06.2026;04.06.2026;01/05-314;О присвоении адреса объекту адресации на территории муниципального округа Генический муниципальный округ Херсонской области;14.07.2026;Актуальная;21ebb2e6-d8e2-4ca2-b274-2355196a6377;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000410005000000010;179798135
111;ул. Набережная;169/1;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, здание 169/1;96:01:0005445:260;05.06.2026;04.06.2026;01/05-314;О присвоении адреса объекту адресации на территории муниципального округа Генический муниципальный округ Херсонской области;14.07.2026;Актуальная;bcddcb36-24c8-4d15-9645-35b5cef3a9b0;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000420003000000000;179798156
112;ул. Набережная;169/2;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, земельный участок 169/2;;05.06.2026;04.06.2026;01/05-315;О присвоении адреса объекту адресации на территории муниципального округа Генический муниципальный округ Херсонской области;05.06.2026;Актуальная;d3af448f-098d-4d53-9310-112b2065370c;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000410004000000000;179798134
113;ул. Набережная;169/3;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, земельный участок 169/3;96:01:0005445:232;05.06.2026;04.06.2026;01/05-313;О присвоении адреса объекту адресации на территории муниципального округа Генический муниципальный округ Херсонской области;14.07.2026;Актуальная;6fb72869-b6f5-4ba9-aebc-749ff873574a;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000410006000000010;179798157
114;ул. Набережная;170;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, земельный участок 170;;22.06.2026;18.06.2026;01/05-399;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;22.06.2026;Актуальная;a59396a6-847a-442a-81ee-53cf9e7f5f64;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000410024000000000;180104007
115;ул. Набережная;171;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, земельный участок 171;96:01:0005445:281;22.06.2026;18.06.2026;01/05-407;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;22.06.2026;Актуальная;fa7b2484-c491-4aee-8514-64659611dd35;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000410026000000000;180104015
116;ул. Утлюкская;7;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Утлюкская, земельный участок 7;96:01:0005445:275;05.06.2026;04.06.2026;01/05-317;О присвоении адреса объекту адресации на территории муниципального округа Генический муниципальный округ Херсонской области;14.07.2026;Актуальная;65e087c7-673a-4c17-bf94-adcedc2f0832;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000310001000000010;179798106
117;ул. Утлюкская;20;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Утлюкская, земельный участок 20;;03.07.2026;03.07.2026;01/05-476;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;03.07.2026;Актуальная;00e06314-30cf-4b63-babc-d4a6c3ca1bd3;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000310016000000000;180352917
118;ул. Утлюкская;30;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Утлюкская, земельный участок 30;;22.06.2026;18.06.2026;01/05-418;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;22.06.2026;Актуальная;480cf3f3-b531-4747-b621-cb69d1fee1b6;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000310004000000000;180103910
