№;Улица;Номер;Вид объекта;Полный адрес;Кадастровый номер;Дата внесения записи в ГАР;Дата документа-основания;Номер документа-основания;Наименование документа-основания;Последнее обновление записи;Статус записи;ID ФИАС;Почтовый индекс;ОКТМО;Примечания;Реестровый номер записи;objectId (ГАР)
21;ул. Алмазная;18;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 18;;11.06.2026;10.06.2026;01/05-355;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;11.06.2026;Актуальная;e44f0554-6396-476a-971e-4f399fe0324b;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510018000000000;179929615
22;ул. Алмазная;19;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 19;;11.06.2026;10.06.2026;01/05-356;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;11.06.2026;Актуальная;24f68473-2bb7-4909-9b4c-c32b58b3f23a;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510019000000000;179929616
23;ул. Алмазная;20;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 20;;11.06.2026;10.06.2026;01/05-357;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;11.06.2026;Актуальная;abf69143-dc32-4cfb-a34e-a6df977d9b7c;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510020000000000;179929622
24;ул. Алмазная;21;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 21;;11.06.2026;10.06.2026;01/05-358;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;11.06.2026;Актуальная;ced0da6a-9617-43e5-b360-8cb6e5af50d7;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510021000000000;179929626
25;ул. Алмазная;22;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 22;;11.06.2026;10.06.2026;01/05-359;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;11.06.2026;Актуальная;30246c30-4412-4a4d-8d41-5251b0a625a8;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510022000000000;179929627
26;ул. Алмазная;23;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 23;;11.06.2026;10.06.2026;01/05-360;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;11.06.2026;Актуальная;83524d47-754b-48fd-906a-e89a6f2ed7b2;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510023000000000;179929630
27;ул. Алмазная;24;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 24;;11.06.2026;10.06.2026;01/05-361;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;11.06.2026;Актуальная;ed228579-4a9c-4676-8aa3-8da669566e53;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510024000000000;179929631
28;ул. Алмазная;25;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 25;;11.06.2026;10.06.2026;01/05-362;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;11.06.2026;Актуальная;cc745f2b-a19b-418b-9ccc-f2b0799eedee;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510025000000000;179929632
29;ул. Алмазная;26;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 26;;11.06.2026;10.06.2026;01/05-363;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;11.06.2026;Актуальная;16ecdb8e-8b51-447d-b1a4-6cfa8e746d8d;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510026000000000;179929633
30;ул. Алмазная;27;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 27;;11.06.2026;10.06.2026;01/05-364;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;11.06.2026;Актуальная;f816bbe1-d16a-4c03-80f6-10b46e05c506;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510027000000000;179929634
